Zaisan astra villa 4 uruu bair	4 өрөө	454000000.0	100.0 м²	2017	Байгаа	2 тагттай	Хан-Уул	12	7
77.2 м2 3 өрөө байр	3 өрөө	360000000.0	77.2 м²	2019	Байхгүй	2 тагттай	Хан-Уул	12	5
Худ, 115-р сургуулийн зүүн талд цэлмэг хотхонд 4 өрөө байр 108м2	4 өрөө	157000000.0	108.0 м²	2012	Байгаа	2 тагттай	Хан-Уул	1	5
3 өрөө	3 өрөө	95000000.0	74.7 м²	2023	Байгаа	2 тагттай	Баянзүрх	16	12
Зайсан соёмботой уул алтанбогд хотхонд 4 өрөө байр	4 өрөө	227500000.0	91.0 м²	2022	Байхгүй	1 тагттай	Хан-Уул	10	7
10-р хороололд 1 өрөө	1 өрөө	124800000.0	32.0 м²	2010	Байхгүй	1 тагттай	Баянгол	16	3
Шинэ амгаланд 3 өрөө байр	3 өрөө	220100000.0	71.0 м²	2022	Байхгүй	Тагтгүй	Баянзүрх	12	1
Офицерт 3 өрөө	3 өрөө	100800000.0	36.0 м²	2000	Байхгүй	1 тагттай	Баянзүрх	7	6
Хан уул 2 өрөө байp	2 өрөө	226016000.0	40.36 м²	2017	Байхгүй	1 тагттай	Хан-Уул	10	9
Бичил-6 хороололд 55м2 2 өрөө байр	2 өрөө	132000000.0	55.0 м²	1997	Байхгүй	1 тагттай	Баянгол	9	9
Улаанхуаранд 2 өрөө байр	2 өрөө	230000000.0	49.09 м²	2022	Байхгүй	1 тагттай	Баянзүрх	23	10
Central mall-ийн зүүн талд 50.15 мкв 2 өрөө	2 өрөө	110000000.0	50.15 м²	2021	Байхгүй	1 тагттай	Баянзүрх	6	5
Яармаг хан виллад 2 өрөө орон сууц	2 өрөө	123000000.0	43.21 м²	2022	Байхгүй	1 тагттай	Хан-Уул	17	13
19-р хороололд 39.74м2 2 өрөө	2 өрөө	160000000.0	39.74 м²	2010	Байхгүй	1 тагттай	Хан-Уул	12	7
Бзд кино үйлдвэрт 45.05мкв 2 өрөө	2 өрөө	95000000.0	45.05 м²	2016	Байхгүй	1 тагттай	Баянзүрх	9	5
Garden city 1 т 4 өрөө	4 өрөө	366800000.0	89.0 м²	2020	Байгаа	1 тагттай	Хан-Уул	5	1
Zaisand 63 mk,shine 2 uruu bair	2 өрөө	145754000.0	63.0 м²	2021	Байхгүй	1 тагттай	Хан-Уул	12	6
Nished elegans taund 71.70mk 4 uruu	4 өрөө	535000000.0	71.7 м²	2023	Байхгүй	2 тагттай	Хан-Уул	16	6
Схд 2 өрөө байр	2 өрөө	95000000.0	47.19 м²	2014	Байхгүй	1 тагттай	Сонгино Хайрхан	9	6
Home plaza баруун талд 4өрөө	4 өрөө	273000000.0	150.0 м²	2012	Байгаа	2 тагттай	Хан-Уул	12	11
16р хороололд 29.55 мк 1 өрөө	1 өрөө	120000000.0	30.0 м²	2021	Байхгүй	1 тагттай	Баянзүрх	13	8
Алтанбогд хороололд 71мкв 2 өрөө байр	2 өрөө	155000000.0	71.83 м²	2020	Байгаа	1 тагттай	Хан-Уул	10	4
Бзд, морнинг стар хотхонд 1 өрөө байр	1 өрөө	72000000.0	30.0 м²	2019	Байхгүй	Тагтгүй	Баянзүрх	16	16
Hud gerlug vista 2 uruu 60m2	2 өрөө	95000000.0	60.0 м²	2023	Байгаа	1 тагттай	Хан-Уул	23	10
Middle river хотхонд 46.93 мкв 2 өрөө	2 өрөө	153000000.0	46.93 м²	2023	Байхгүй	1 тагттай	Баянгол	16	15
10 horoolold 35.5 1uruu bair	1 өрөө	120000000.0	35.5 м²	2015	Байхгүй	1 тагттай	Баянгол	5	4
Sky s хотхонд 3 өрөө яармагт	3 өрөө	185000000.0	71.0 м²	2023	Байхгүй	1 тагттай	Хан-Уул	9	7
Хорооллын эцэст, говь сауны урд сургууль цэцэрлэгийн хажууд 2 өрөө байр	2 өрөө	99000000.0	53.0 м²	2014	Байхгүй	1 тагттай	Баянгол	6	2
Өгөөмөр захын ард нарт хотхонд 2 өрөө орон сууц	2 өрөө	123000000.0	50.26 м²	2023	Байхгүй	1 тагттай	Баянзүрх	12	5
3өрөө өргөтгөлтэй орон сууц	3 өрөө	220000000.0	84.0 м²	1984	Байхгүй	Тагтгүй	Чингэлтэй	5	1
Нисэхэд 1 өрөө байр	1 өрөө	76000000.0	29.0 м²	2023	Байхгүй	1 тагттай	Хан-Уул	16	2
2 өрөө байр	2 өрөө	155000000.0	38.0 м²	2022	Байхгүй	1 тагттай	Баянзүрх	16	9
Bayanzurkh duureg 16 d 1 oroo bair 30м2	1 өрөө	128000000.0	30.0 м²	2023	Байхгүй	1 тагттай	Баянзүрх	16	10
Шинэ амгалан 50.48мкв 2 өрөө байр	2 өрөө	95000000.0	50.48 м²	2023	Байхгүй	1 тагттай	Баянзүрх	16	9
Шинэ амгалан 2 өрөө 50.48мкв	2 өрөө	287736000.0	50.48 м²	2022	Байхгүй	1 тагттай	Баянзүрх	16	4
Шинэ амгаланд 2 өрөө 45.38мкв	2 өрөө	258666000.0	45.38 м²	2022	Байхгүй	1 тагттай	Баянзүрх	16	9
Нисэх шүрт хотхонд 60м2 2өрөө	2 өрөө	230000000.0	60.0 м²	2022	Байхгүй	1 тагттай	Хан-Уул	12	5
Хилчинд 2 өрөө байр 45м2	2 өрөө	155000000.0	45.0 м²	2012	Байхгүй	1 тагттай	Сонгино Хайрхан	5	5
Яармагт iris residence хотхонд 5 өрөө орон сууц	5+ өрөө	680000000.0	160.0 м²	2022	Байхгүй	2 тагттай	Хан-Уул	12	8
Бзд 2 өрөө байр	2 өрөө	160000000.0	48.0 м²	2018	Байхгүй	1 тагттай	Баянзүрх	16	3
Бзд 16р хороолол скай ресиденс хотхонд 2өрөө байр	2 өрөө	230000000.0	48.9 м²	2019	Байхгүй	1 тагттай	Баянзүрх	16	13
Яармагт шинэ 3 өрөө	3 өрөө	433200000.0	114.0 м²	2022	Байхгүй	2 тагттай	Хан-Уул	16	16
Схд хилчин хотхонд 2 өрөө байр	2 өрөө	307800000.0	54.0 м²	2015	Байхгүй	1 тагттай	Сонгино Хайрхан	5	4
Жем моллын хойно 2 өрөө	2 өрөө	132000000.0	46.0 м²	2022	Байгаа	1 тагттай	Баянгол	16	15
25 эмийн санд 51 сургуульд 1 өрөө байр	1 өрөө	120000000.0	27.0 м²	2012	Байхгүй	1 тагттай	Баянгол	5	4
Яармаг vip residence хотхонд 3 өрөө орон сууц	3 өрөө	205000000.0	92.0 м²	2020	Байхгүй	1 тагттай	Хан-Уул	10	3
Бздүүрэгт 2 өрөө байр	2 өрөө	167000000.0	50.0 м²	2023	Байхгүй	1 тагттай	Баянзүрх	16	8
Japan town c 4 хотхонд 4 өрөө байр	4 өрөө	366800000.0	191.0 м²	2020	Байгаа	2 тагттай	Хан-Уул	16	6
Худ яармаг Арцат өргөө 2 хотхонд 3 өрөө 74.2m2	3 өрөө	128000000.0	74.2 м²	2023	Байхгүй	1 тагттай	Хан-Уул	12	5
Мишээл хотхонд 43мкв	2 өрөө	95000000.0	43.0 м²	2022	Байхгүй	1 тагттай	Хан-Уул	12	2
Натур 4 өрөө	4 өрөө	311000000.0	110.0 м²	2013	Байгаа	2 тагттай	Баянзүрх	10	5
Happy residence хотхонд 68.32мкв 3 өрөө байр	3 өрөө	380000000.0	68.32 м²	2023	Байхгүй	1 тагттай	Хан-Уул	13	11
Бзд сансарт 2 өрөө байр	2 өрөө	145600000.0	56.0 м²	2013	Байхгүй	2 тагттай	Баянзүрх	9	2
Цэвэрхэн том 1өрөө байр 40.59м2	1 өрөө	92000000.0	40.59 м²	2021	Байхгүй	1 тагттай	Баянзүрх	12	5
Хан уул дүүрэгт 48м2 2 өрөө	2 өрөө	268800000.0	48.0 м²	2017	Байхгүй	2 тагттай	Хан-Уул	10	3
